"","x"
"1",-1.35010795164579
"2",-1.34548603274022
"3",-1.34046739783452
"4",-1.33505352594343
"5",-1.32924601255984
"6",-1.32304656918462
"7",-1.31645702282218
"8",-1.30947931544207
"9",-1.30211550340668
"10",-1.29436775686524
"11",-1.28623835911419
"12",-1.27772970592438
"13",-1.26884430483494
"14",-1.25958477441438
"15",-1.2499538434888
"16",-1.23995435033774
"17",-1.22958924185775
"18",-1.21886157269386
"19",-1.20777450433942
"20",-1.19633130420436
"21",-1.18453534465228
"22",-1.1723901020066
"23",-1.15989915552609
"24",-1.14706618634999
"25",-1.13389497641323
"26",-1.12038940733184
"27",-1.10655345925901
"28",-1.09239120971214
"29",-1.07790683237118
"30",-1.06310459584861
"31",-1.04798886243148
"32",-1.03256408679581
"33",-1.01683481469378
"34",-1.00080568161406
"35",-0.98448141141576
"36",-0.967866814936225
"37",-0.9509667885733
"38",-0.933786312842325
"39",-0.916330450908354
"40",-0.898604347094021
"41",-0.880613225363482
"42",-0.86236238778289
"43",-0.843857212957849
"44",-0.825103154448318
"45",-0.806105739161421
"46",-0.786870565722638
"47",-0.767403302825872
"48",-0.747709687562852
"49",-0.727795523732388
"50",-0.707666680129965
"51",-0.687329088818185
"52",-0.666788743378554
"53",-0.646051697145154
"54",-0.625124061420691
"55",-0.604012003675469
"56",-0.58272174572981
"57",-0.56125956192045
"58",-0.53963177725147
"59",-0.517844765530282
"60",-0.49590494748924
"61",-0.473818788893424
"62",-0.451592798635146
"63",-0.429233526815753
"64",-0.406747562815276
"65",-0.384141533350516
"66",-0.361422100522118
"67",-0.338595959851215
"68",-0.315669838306235
"69",-0.292650492320427
"70",-0.269544705800711
"71",-0.246359288128427
"72",-0.223101072152585
"73",-0.199776912176185
"74",-0.176393681936229
"75",-0.152958272577998
"76",-0.129477590624196
"77",-0.10595855593957
"78",-0.0824080996915932
"79",-0.0588331623078163
"80",-0.0352406914304945
"81",-0.0116376398690834
"82",0.0119690364487851
"83",0.0355723805272467
"84",0.0591654363524635
"85",0.0827412509425928
"86",0.106292876396863
"87",0.129813371943153
"88",0.153295805983466
"89",0.176733258136708
"90",0.200118821278154
"91",0.223445603575005
"92",0.246706730517452
"93",0.269895346944616
"94",0.293004619064802
"95",0.316027736469447
"96",0.338957914140175
"97",0.36178839444838
"98",0.384512449146723
"99",0.407123381351983
"100",0.429614527518656
"101",0.451979259402733
"102",0.474210986015076
"103",0.496303155563809
"104",0.518249257385165
"105",0.540042823862204
"106",0.561677432330856
"107",0.583146706972703
"108",0.604444320693964
"109",0.625563996990122
